PM2.5,PM10,NO2,AQI
81.4,124.5,20.5,184.0
78.32,129.06,26.0,197.0
88.76,135.32,30.85,198.0
64.18,104.09,28.07,188.0
72.47,114.84,23.2,173.0
69.8,114.86,20.17,165.0
73.96,113.56,19.29,191.0
89.9,140.2,26.19,191.0
87.14,130.52,21.31,227.0
84.64,125.0,26.98,168.0
88.36,121.77,20.23,198.0
96.83,139.36,25.65,201.0
117.46,181.64,41.1,252.0
122.88,208.86,54.87,310.0
74.28,141.22,44.97,196.0
50.32,102.77,33.85,132.0
58.47,115.27,41.64,147.0
89.35,131.48,42.1,179.0
64.42,99.74,34.78,145.0
69.4,98.94,29.97,115.0
71.07,109.65,25.0,140.0
79.76,129.81,40.92,156.0
108.06,167.62,47.05,225.0
100.75,172.04,53.94,251.0
106.25,171.56,43.09,228.0
83.79,141.83,47.47,223.0
79.98,147.74,49.55,170.0
76.27,152.59,56.0,165.0
86.5,147.95,42.0,159.0
100.62,167.75,47.68,232.0
110.73,171.47,31.06,242.0
107.7,170.21,43.54,274.0
104.81,192.2,63.48,259.0
89.95,175.16,64.53,225.0
74.58,138.6,46.65,177.0
56.68,109.33,33.26,120.0
61.03,131.62,39.5,120.0
59.03,108.83,23.36,120.0
61.88,109.82,23.14,132.0
71.57,137.48,39.99,136.0
92.44,174.75,53.79,182.0
92.9,162.69,56.39,222.0
85.15,151.97,61.55,230.0
81.47,145.68,46.9,224.0
81.58,132.66,34.93,217.0
79.56,146.64,37.58,230.0
87.43,155.95,37.31,229.0
87.33,153.97,42.52,229.0
110.39,182.54,52.24,235.0
77.51,125.01,36.41,214.0
86.96,129.99,28.32,186.0
76.29,115.53,21.35,172.0
67.06,100.34,20.25,138.0
68.34,104.45,26.26,125.0
66.28,117.3,45.13,132.0
64.98,116.14,45.4,111.0
75.46,132.84,56.53,137.0
81.58,141.85,38.15,172.0
78.27,142.86,45.36,160.0
79.01,138.14,45.43,163.0
77.98,137.31,44.96,165.0
77.96,155.73,59.92,139.0
79.04,143.38,43.61,176.0
77.78,131.14,43.84,162.0
76.48,131.86,33.37,160.0
74.2,135.97,35.82,142.0
78.23,140.66,45.76,172.0
68.53,147.48,61.52,134.0
62.08,152.59,62.18,136.0
50.64,130.36,45.52,130.0
44.21,119.52,34.37,111.0
50.71,115.65,35.16,117.0
42.27,100.54,30.69,102.0
39.41,101.1,28.53,108.0
50.56,116.89,37.27,99.0
50.54,120.05,26.96,121.0
26.22,62.82,20.1,86.0
31.83,66.74,16.83,57.0
70.26,112.29,11.87,107.0
59.47,99.73,12.85,118.0
58.71,99.04,13.88,110.0
56.29,107.96,16.71,114.0
50.41,118.62,25.6,111.0
57.53,128.81,25.03,117.0
43.82,97.19,16.01,107.0
42.71,80.24,17.35,87.0
54.73,94.12,12.79,89.0
50.91,99.84,16.33,97.0
38.5,106.7,16.82,100.0
32.21,107.43,17.33,105.0
35.36,107.25,17.75,114.0
59.65,127.26,19.14,116.0
39.52,113.31,21.18,116.0
43.08,116.06,19.02,108.0
38.1,97.0,22.21,100.0
33.08,83.16,18.83,92.0
29.7,77.45,17.33,80.0
38.67,82.67,22.81,88.0
30.04,83.07,24.74,83.0
39.72,103.81,26.29,100.0
38.21,78.95,19.03,81.0
58.31,124.64,28.85,112.0
62.49,113.56,22.65,113.0
49.04,102.46,19.92,105.0
41.67,80.09,13.08,88.0
32.44,75.3,19.07,78.0
26.43,80.85,20.82,78.0
25.08,60.67,15.22,69.0
26.09,63.05,10.42,60.0
49.58,82.95,19.05,61.0
43.52,80.01,20.43,90.0
39.83,76.09,14.37,74.0
36.89,76.61,18.83,76.0
52.69,94.25,14.44,92.0
46.48,95.41,14.79,93.0
44.22,77.62,8.53,88.0
39.05,81.51,9.86,79.0
30.21,67.22,11.29,74.0
31.14,60.35,10.36,62.0
24.23,52.06,14.33,55.0
22.29,55.96,11.27,56.0
25.28,54.59,9.65,56.0
24.4,70.25,10.84,76.0
23.72,55.74,8.86,81.0
26.12,56.77,11.71,59.0
12.42,36.29,10.28,52.0
15.2,45.09,9.26,125.0
25.62,56.44,13.88,86.0
40.32,66.25,11.3,62.0
13.07,37.35,8.59,78.0
16.56,41.96,7.25,114.0
19.57,44.72,7.72,103.0
27.42,57.28,19.38,129.0
31.26,72.82,10.78,136.0
28.12,70.21,13.18,155.0
18.81,55.66,11.7,88.0
18.09,45.11,7.26,89.0
16.86,48.26,8.54,68.0
16.46,33.5,17.41,65.0
18.4,49.43,13.66,66.0
20.31,49.14,12.76,96.0
23.99,46.59,16.64,68.0
20.36,41.99,15.53,76.0
15.08,38.79,13.96,70.0
19.42,69.33,13.23,75.0
13.93,48.97,10.72,73.0
18.29,41.01,17.63,85.0
17.25,32.02,6.82,83.0
16.89,30.98,6.37,62.0
15.95,25.24,7.16,79.0
8.68,26.62,5.01,31.0
10.45,41.47,11.13,39.0
14.48,35.5,12.77,42.0
17.96,47.61,14.95,73.0
17.42,56.44,16.26,55.0
17.79,68.97,16.25,86.0
17.74,80.26,20.1,57.0
21.78,76.32,20.63,85.0
28.31,98.01,24.83,85.0
27.1,112.48,23.91,106.0
20.21,91.71,16.41,100.0
18.52,51.48,18.33,68.0
25.59,70.1,21.95,61.0
21.79,75.21,15.65,71.0
18.47,52.91,16.89,111.0
16.73,40.15,16.05,47.0
18.72,57.71,25.46,47.0
11.39,28.72,11.2,48.0
10.62,19.96,9.32,49.0
9.28,16.42,7.85,57.0
7.45,20.5,8.92,60.0
15.32,45.04,10.48,52.0
11.39,24.61,7.96,63.0
12.51,32.52,6.6,53.0
8.71,14.17,6.04,56.0
7.0,7.8,7.66,75.0
15.76,40.74,19.03,89.0
18.79,60.26,20.45,76.0
10.1,23.92,13.33,66.0
14.43,43.47,16.04,61.0
22.65,57.46,16.8,83.0
28.45,81.89,19.36,87.0
24.94,69.22,19.99,97.0
26.24,62.75,21.34,98.0
30.6,76.16,24.63,99.0
24.22,86.08,26.49,98.0
31.3,101.05,25.22,90.0
27.1,89.38,21.31,106.0
33.28,75.5,32.4,88.0
40.56,66.97,17.56,76.0
37.93,67.4,20.86,68.0
31.64,69.39,18.65,75.0
35.02,71.42,21.04,80.0
24.29,50.33,13.45,81.0
26.13,60.44,22.94,59.0
24.08,45.81,27.49,62.0
25.88,56.44,17.79,56.0
49.7,109.35,25.91,80.0
65.16,184.84,52.69,142.0
52.88,172.08,26.45,154.0
40.99,122.69,29.54,130.0
39.22,102.6,24.58,113.0
36.86,76.61,27.36,91.0
34.41,72.03,25.38,77.0
56.53,128.8,36.38,122.0
69.42,167.05,45.82,133.0
53.53,119.1,38.23,133.0
48.33,115.41,36.77,118.0
58.65,125.68,36.24,118.0
21.58,68.71,39.44,61.0
23.22,64.84,39.56,86.0
51.51,111.28,57.93,105.0
56.85,115.5,62.91,106.0
68.25,129.41,65.0,120.0
